Postcode	Description	Grid Reference	X (easting)	Y (northing)	Latitude	Longitude
S1 2GJ	S1 2GJ	SK 35397 87407	435397	387407	53.382331	-1.4693203
S1 2NS	S1 2NS	SK 35503 86868	435503	386868	53.37748	-1.4677872
S1 4AD	S1 4AD	SK 35045 87448	435045	387448	53.382723	-1.4746074
S1 4QU	S1 4QU	SK 35542 86545	435542	386545	53.374574	-1.4672372
S10 1BD	S10 1BD	SK 33642 87614	433642	387614	53.384306	-1.4956812
S10 1BE	S10 1BE	SK 33614 87653	433614	387653	53.384659	-1.496098
S10 1EE	S10 1EE	SK 33630 87866	433630	387866	53.386572	-1.4958348
S10 1ER	S10 1ER	SK 33572 87738	433572	387738	53.385425	-1.4967204
S10 1GG	S10 1GG	SK 33459 87715	433459	387715	53.385226	-1.4984216
S10 1GQ	S10 1GQ	SK 32994 87466	432994	387466	53.383017	-1.5054384
S10 1LG	S10 1LG	SK 33417 87910	433417	387910	53.386981	-1.4990325
S10 1LX	S10 1LX	SK 33345 87737	433345	387737	53.385431	-1.5001332
S10 1QP	S10 1QP	SK 33052 88203	433052	388203	53.389637	-1.5044896
S10 2SN	S10 2SN	SK 33468 86969	433468	386969	53.37852	-1.4983651
S10 2SQ	S10 2SQ	SK 33534 87083	433534	387083	53.37954	-1.497361
S10 3RN	S10 3RN	SK 30459 85483	430459	385483	53.365345	-1.5437381
S10 4BG	S10 4BG	SK 30136 86217	430136	386217	53.37196	-1.5485222
S10 4GA	S10 4GA	SK 30333 85309	430333	385309	53.363788	-1.5456482
S10 4LT	S10 4LT	SK 29003 86202	429003	386202	53.371889	-1.5655519
S10 5DB	S10 5DB	SK 32653 86876	432653	386876	53.377735	-1.5106255
S10 5FY	S10 5FY	SK 32262 87255	432262	387255	53.381165	-1.5164642
S10 5RT	S10 5RT	SK 31653 86823	431653	386823	53.377319	-1.5256621
S10 5TZ	S10 5TZ	SK 30571 86769	430571	386769	53.376897	-1.5419312
S11 7EF	S11 7EF	SK 31855 85894	431855	385894	53.368957	-1.5227191
S11 7GH	S11 7GH	SK 32721 85045	432721	385045	53.361273	-1.5097922
S11 7LT	S11 7LT	SK 31787 85069	431787	385069	53.361546	-1.5238237
S11 7PR	S11 7PR	SK 32076 84571	432076	384571	53.357052	-1.5195316
S11 7RJ	S11 7RJ	SK 31367 84441	431367	384441	53.355926	-1.5301965
S11 8BF	S11 8BF	x	e	n	53.371500	-1.485151
S11 8SA	S11 8SA	SK 33147 85856	433147	385856	53.368536	-1.5033066
S11 8UG	S11 8UG	SK 33222 85567	433222	385567	53.365934	-1.5022098
S11 8XU	S11 8XU	SK 33561 85677	433561	385677	53.366901	-1.4971039
S11 8YJ	S11 8YJ	SK 33884 85687	433884	385687	53.36697	-1.492249
S11 9FR	S11 9FR	SK 33178 84421	433178	384421	53.355636	-1.5029908
S11 9LG	S11 9LG	SK 32101 83753	432101	383753	53.349698	-1.5192387
S11 9QU	S11 9QU	SK 31873 82959	431873	382959	53.342575	-1.5227433
S11 9RQ	S11 9RQ	SK 31694 83780	431694	383780	53.349965	-1.5253498
S12 2DG	S12 2DG	SK 39498 84397	439498	384397	53.354987	-1.408046
S12 2EP	S12 2EP	SK 39192 84241	439192	384241	53.353608	-1.4126624
S12 2LG	S12 2LG	SK 38146 83445	438146	383445	53.34653	-1.4284717
S12 3GH	S12 3GH	SK 38665 83054	438665	383054	53.342978	-1.4207239
S12 3HJ	S12 3HJ	SK 38585 82758	438585	382758	53.340323	-1.4219613
S12 4NA	S12 4NA	SK 42276 83130	442276	383130	53.343385	-1.3664809
S12 4NQ	S12 4NQ	SK 41732 83270	441732	383270	53.344687	-1.3746328
S12 4NW	S12 4NW	SK 41830 82973	441830	382973	53.342009	-1.3732
S12 4WW	S12 4WW	SK 39417 83373	439417	383373	53.345789	-1.4093901
S12 4XL	S12 4XL	SK 39659 83507	439659	383507	53.346976	-1.4057385
S13 7EY	S13 7EY	SK 41495 84765	441495	384765	53.358142	-1.3779969
S13 7LN	S13 7LN	SK 42130 85077	442130	385077	53.360897	-1.3684151
S13 7TD	S13 7TD	SK 42585 85424	442585	385424	53.363979	-1.3615321
S13 8NH	S13 8NH	SK 40588 86332	440588	386332	53.372297	-1.3914232
S13 8QD	S13 8QD	SK 40585 85482	440585	385482	53.364657	-1.3915771
S13 9BB	S13 9BB	SK 41264 86443	441264	386443	53.373242	-1.3812491
S13 9BN	S13 9BN	SK 40701 86436	440701	386436	53.373223	-1.3897116
S13 9HA	S13 9HA	SK 41306 86024	441306	386024	53.369473	-1.3806724
S14 1FA	S14 1FA	SK 36838 82911	436838	382911	53.341822	-1.4481801
S14 1PE	S14 1PE	SK 36303 84518	436303	384518	53.356303	-1.4560313
S17 3EA	S17 3EA	SK 30539 81393	430539	381393	53.328578	-1.5429291
S17 3EE	S17 3EE	SK 30646 81216	430646	381216	53.326981	-1.5413396
S17 3GN	S17 3GN	SK 30513 80625	430513	380625	53.321676	-1.5433931
S17 3NL	S17 3NL	SK 31622 81221	431622	381221	53.326968	-1.5266859
S17 4PL	S17 4PL	SK 32509 80318	432509	380318	53.318798	-1.5134612
S17 4QG	S17 4QG	SK 33042 80443	433042	380443	53.319889	-1.5054476
S2 1AX	S2 1AX	SK 39322 86064	439322	386064	53.369984	-1.4104834
S2 1GF	S2 1GF	SK 37491 85707	437491	385707	53.366908	-1.4380427
S2 1QT	S2 1QT	SK 38168 86541	438168	386541	53.374355	-1.4277688
S2 2RP	S2 2RP	SK 36785 86461	436785	386461	53.373734	-1.4485646
S2 3HH	S2 3HH	SK 35701 85189	435701	385189	53.362375	-1.4650001
S2 3QJ	S2 3QJ	SK 36203 86139	436203	386139	53.37088	-1.4573487
S2 5HL	S2 5HL	SK 36549 86768	436549	386768	53.37651	-1.4520762
S2 5LZ	S2 5LZ	SK 36496 87371	436496	387371	53.381933	-1.4528034
S20 1GW	S20 1GW	SK 43630 83557	443630	383557	53.347113	-1.3460867
S20 5AA	S20 5AA	SK 42605 81178	442605	381178	53.325814	-1.3618015
S20 5PN	S20 5PN	SK 41558 81849	441558	381849	53.331928	-1.3774321
S20 6RT	S20 6RT	SK 41522 82944	441522	382944	53.341773	-1.3778295
S20 7HQ	S20 7HQ	SK 42862 82293	442862	382293	53.335815	-1.3577928
S20 7JU	S20 7JU	SK 43288 82361	443288	382361	53.336392	-1.3513866
S20 8LE	S20 8LE	SK 43505 81620	443505	381620	53.329714	-1.3482296
S20 8LP	S20 8LP	SK 43170 81636	443170	381636	53.329885	-1.3532571
S3 7AP	S3 7AP	SK 34534 87580	434534	387580	53.383943	-1.4822749
S3 7HD	S3 7HD	SK 34512 87536	434512	387536	53.383549	-1.4826104
S3 7QW	S3 7QW	SK 34473 87015	434473	387015	53.378869	-1.4832534
S3 7XD	S3 7XD	SK 34599 86880	434599	386880	53.377647	-1.4813741
S3 8ND	S3 8ND	SK 35521 87995	435521	387995	53.387608	-1.4673903
S3 8NG	S3 8NG	SK 35539 88048	435539	388048	53.388083	-1.4671138
S3 9AF	S3 9AF	SK 35536 89513	435536	389513	53.401251	-1.4669945
